PLAYER_ID,PLAYER_NAME,MIN,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PTS,PLUS_MINUS,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT,D_FGM,D_FGA,D_FG_PCT,CONTESTED_SHOTS,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,LOOSE_BALLS_RECOVERED,BOX_OUTS,RAPM
1627780,Gary Payton II,4.0,0.3,0.4,0.75,0.2,0.9,1.1,0.1,0.1,0.6,0.1,0.0,0.8,2.5,0.1,0.692,0.8,0.9,0.889,0.308,0.2,0.4,0.5,1.0,2.8,0.357,0.8,0.9,0.0,0.1,0.3,0.1,-2.12
1629018,Gary Trent Jr.,31.1,1.4,1.8,0.783,0.5,2.2,2.6,1.4,0.7,1.0,0.2,0.4,1.6,15.3,-1.0,0.454,2.67,6.14,0.435,0.546,2.84,7.4,0.385,3.57,7.69,0.464,3.57,2.05,0.0,0.22,0.59,0.28,-1.38
201588,George Hill,22.4,1.3,1.7,0.8,0.5,1.5,2.0,2.4,1.0,0.8,0.2,0.4,1.0,8.7,-0.3,0.594,2.13,3.9,0.547,0.406,1.03,2.67,0.388,3.27,7.33,0.445,3.5,1.33,0.07,0.2,0.7,0.7,4.05
1627777,Georges Niang,16.0,0.3,0.3,0.957,0.4,2.1,2.4,0.8,0.7,0.3,0.1,0.1,1.6,6.9,4.9,0.277,0.74,1.56,0.473,0.723,1.72,4.06,0.425,2.07,5.09,0.407,2.9,0.61,0.0,0.36,0.33,0.61,0.13
203507,Giannis Antetokounmpo,33.0,6.5,9.5,0.685,1.6,9.4,11.0,5.9,3.4,1.2,1.2,0.9,2.8,28.1,6.7,0.799,9.16,14.41,0.636,0.201,1.1,3.62,0.303,4.8,11.25,0.427,8.62,2.03,0.03,2.79,1.13,0.98,6.41
203922,Glenn Robinson III,16.1,0.9,1.0,0.913,0.5,1.5,2.0,0.9,0.5,0.2,0.1,0.3,1.0,5.3,-5.7,0.556,1.13,2.39,0.473,0.444,0.7,1.91,0.364,3.0,6.0,0.5,3.96,0.7,0.0,0.04,0.35,0.74,-3.09
1629048,Goga Bitadze,12.5,1.0,1.4,0.738,1.3,2.0,3.3,0.8,0.4,0.2,1.3,0.3,2.1,5.1,-0.4,0.593,1.4,2.56,0.548,0.407,0.44,1.76,0.253,3.49,7.63,0.457,6.49,0.6,0.0,1.96,0.24,1.67,-0.69
201609,Goran Dragic,26.7,2.0,2.4,0.828,0.5,2.9,3.4,4.4,2.4,0.7,0.2,0.5,2.3,13.4,0.8,0.56,2.98,6.2,0.481,0.44,1.82,4.88,0.373,3.33,7.27,0.458,3.52,1.42,0.1,0.32,0.68,0.36,1.73
202330,Gordon Hayward,34.0,3.5,4.2,0.843,0.8,5.0,5.9,4.1,2.1,1.2,0.3,0.6,1.7,19.6,0.4,0.688,5.14,10.3,0.499,0.312,1.93,4.66,0.415,4.34,9.36,0.464,5.73,1.95,0.02,0.32,0.89,0.86,4.21
203476,Gorgui Dieng,14.5,1.5,1.8,0.866,1.1,2.6,3.7,1.3,0.8,0.7,0.4,0.2,1.5,6.8,-1.8,0.568,1.45,2.42,0.598,0.432,0.79,1.84,0.429,3.97,7.0,0.568,5.26,1.5,0.08,2.11,0.42,1.29,-1.1
1630203,Grant Riller,3.9,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.1,0.1,0.0,0.0,0.0,2.6,-0.6,0.667,0.86,1.14,0.75,0.333,0.29,0.57,0.5,0.5,1.0,0.5,0.29,0.14,0.0,0.14,0.14,0.0,-0.17
1629684,Grant Williams,18.1,0.5,0.8,0.588,0.8,2.1,2.8,1.0,0.9,0.5,0.4,0.2,2.6,4.7,-0.8,0.48,0.95,1.89,0.504,0.52,0.76,2.05,0.372,3.19,7.16,0.446,4.92,0.81,0.08,1.03,0.4,1.35,0.01
1628960,Grayson Allen,25.2,1.6,1.8,0.868,0.4,2.8,3.2,2.2,1.0,0.9,0.2,0.4,1.4,10.6,0.2,0.338,1.32,2.8,0.471,0.662,2.14,5.48,0.391,3.72,8.18,0.455,4.02,1.04,0.06,0.26,0.48,0.16,-1.86
1628977,Hamidou Diallo,23.6,2.5,3.8,0.64,1.1,4.1,5.2,1.9,1.5,0.8,0.5,0.6,2.6,11.6,-3.7,0.826,3.77,7.46,0.505,0.174,0.54,1.58,0.341,2.96,7.21,0.411,4.19,1.5,0.04,0.1,0.67,0.33,-1.47
203084,Harrison Barnes,36.2,3.4,4.1,0.83,1.1,5.5,6.6,3.5,1.6,0.7,0.2,0.4,1.3,16.1,-1.0,0.601,3.78,6.66,0.567,0.399,1.72,4.41,0.391,5.41,11.1,0.488,6.86,1.41,0.03,0.83,0.79,1.71,0.77
1628385,Harry Giles III,9.2,0.4,0.7,0.593,0.8,2.7,3.5,0.8,0.5,0.2,0.3,0.2,1.4,2.8,-2.1,0.763,0.89,1.95,0.459,0.237,0.21,0.61,0.348,2.39,5.56,0.43,3.58,0.45,0.0,1.24,0.16,0.66,-2.06
202355,Hassan Whiteside,15.2,1.1,2.2,0.519,1.7,4.3,6.0,0.6,1.1,0.3,1.3,0.5,2.0,8.1,-2.9,0.996,3.5,6.19,0.565,0.004,0.0,0.03,0.0,4.14,8.89,0.466,7.19,0.42,0.03,1.92,0.53,1.86,1.67
1627740,Henry Ellenson,19.2,1.5,2.0,0.75,1.5,4.5,6.0,2.5,0.0,0.0,0.0,0.5,3.5,7.5,3.5,0.357,1.5,2.5,0.6,0.643,1.0,4.5,0.222,4.0,9.0,0.444,7.0,0.0,0.5,4.5,0.5,2.5,0.59
