,Unnamed: 0.1,Unnamed: 0,teamTricode,nameTeam,idDivision,idConference,colorsTeam,urlThumbnailTeam,team_name,team_slug,team_id,image,Team,team,teamid
20,20,20,GSW,Golden State Warriors,4.0,2.0,#fdb927,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg,Golden State Warriors,Warriors,1610612744.0,C:\Users\pansr\Documents\NBA\data\images\teams\Golden State Warriors.png,Golden State Warriors,Golden State Warriors,1610612744.0
21,21,21,DET,Detroit Pistons,2.0,1.0,#006bb6,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg,Detroit Pistons,Pistons,1610612765.0,C:\Users\pansr\Documents\NBA\data\images\teams\Detroit Pistons.png,Detroit Pistons,Detroit Pistons,1610612765.0
22,22,22,DEN,Denver Nuggets,3.0,2.0,#4d90cd,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,Denver Nuggets,Nuggets,1610612743.0,C:\Users\pansr\Documents\NBA\data\images\teams\Denver Nuggets.png,Denver Nuggets,Denver Nuggets,1610612743.0
23,23,23,DAL,Dallas Mavericks,6.0,2.0,#0064b1,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg,Dallas Mavericks,Mavericks,1610612742.0,C:\Users\pansr\Documents\NBA\data\images\teams\Dallas Mavericks.png,Dallas Mavericks,Dallas Mavericks,1610612742.0
24,24,24,CLE,Cleveland Cavaliers,2.0,1.0,#860038,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg,Cleveland Cavaliers,Cavaliers,1610612739.0,C:\Users\pansr\Documents\NBA\data\images\teams\Cleveland Cavaliers.png,Cleveland Cavaliers,Cleveland Cavaliers,1610612739.0
25,25,25,CHI,Chicago Bulls,2.0,1.0,#ce1141,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg,Chicago Bulls,Bulls,1610612741.0,C:\Users\pansr\Documents\NBA\data\images\teams\Chicago Bulls.png,Chicago Bulls,Chicago Bulls,1610612741.0
26,26,26,CHA,Charlotte Hornets,5.0,1.0,#1d1160,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg,Charlotte Hornets,Hornets,1610612766.0,C:\Users\pansr\Documents\NBA\data\images\teams\Charlotte Hornets.png,Charlotte Hornets,Charlotte Hornets,1610612766.0
27,27,27,BKN,Brooklyn Nets,1.0,1.0,#061922,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg,Brooklyn Nets,Nets,1610612751.0,C:\Users\pansr\Documents\NBA\data\images\teams\Brooklyn Nets.png,Brooklyn Nets,Brooklyn Nets,1610612751.0
28,28,28,BOS,Boston Celtics,1.0,1.0,#008348,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg,Boston Celtics,Celtics,1610612738.0,C:\Users\pansr\Documents\NBA\data\images\teams\Boston Celtics.png,Boston Celtics,Boston Celtics,1610612738.0
29,29,29,ATL,Atlanta Hawks,5.0,1.0,#e13a3e,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg,Atlanta Hawks,Hawks,1610612737.0,C:\Users\pansr\Documents\NBA\data\images\teams\Atlanta Hawks.png,Atlanta Hawks,Atlanta Hawks,1610612737.0
30,30,.png,,,,,,,,,,,,,
